,x,y,z,intensity,lidar_identifier,delta_time,Class,ID,lidar_mat_id,normal_cos,part_id,point_idx,reference_reflectivity,nominator,denominator,reference_distance,normal angle theta,normal angle phi
0,0.5322653,-0.00014206283,-0.3155456,0,0,0.0,29,550,0,0.86,0,0,0,1,1,0.6187,0.0,3.137
1,0.5322697,5.619177e-05,-0.29895455,0,1,0.0,29,550,0,0.8716,0,1,0,1,1,0.6104,0.0,3.137
2,0.5322794,-1.7392863e-06,-0.2831136,0,2,0.0,29,550,0,0.883,0,2,0,1,1,0.6025,0.0,3.137
3,0.5322772,-8.940237e-05,-0.26729015,0,3,0.0,29,550,0,0.8936,0,3,0,1,1,0.595,0.0,3.137
4,0.5322755,0.00010173008,-0.25178042,0,4,0.0,29,550,0,0.904,0,4,0,1,1,0.5884,0.0,3.137
5,0.5322855,4.5187313e-05,-0.23695914,0,5,0.0,29,550,0,0.9136,0,5,0,1,1,0.5825,0.0,3.137
6,0.53227633,-1.0143754e-05,-0.22244263,0,6,0.0,29,550,0,0.9224,0,6,0,1,1,0.5767,0.0,3.137
7,0.5322865,-9.402636e-05,-0.2079416,0,7,0.0,29,550,0,0.931,0,7,0,1,1,0.5713,0.0,3.137
8,0.53229755,8.916901e-05,-0.19372053,0,8,0.0,29,550,0,0.9395,0,8,0,1,1,0.5664,0.0,3.137
9,0.53229445,6.032569e-06,-0.17981856,0,9,0.0,29,550,0,0.9473,0,9,0,1,1,0.5615,0.0,3.137
10,0.5322911,-7.537095e-05,-0.1662039,0,10,0.0,29,550,0,0.954,0,10,0,1,1,0.5576,0.0,3.137
11,0.5322576,3.165124e-05,-0.15253958,0,11,0.0,29,550,0,0.961,0,11,0,1,1,0.5537,0.0,3.137
12,0.53226805,-4.5363464e-05,-0.13932844,0,12,0.0,29,550,0,0.9673,0,12,0,1,1,0.55,0.0,3.137
13,0.5322716,-0.0001217258,-0.12623079,0,13,0.0,29,550,0,0.9727,0,13,0,1,1,0.547,0.0,3.137
14,0.532276,5.6907178e-05,-0.113232784,0,14,0.0,29,550,0,0.978,0,14,0,1,1,0.544,0.0,3.137
15,0.5322796,-1.9212812e-05,-0.10036328,0,15,0.0,29,550,0,0.9824,0,15,0,1,1,0.5415,0.0,3.137
16,0.5322832,-0.00010675243,-0.08734057,0,16,0.0,29,550,0,0.9863,0,16,0,1,1,0.539,0.0,3.137
17,0.5322868000000001,-0.00018150611,-0.074693814,0,17,0.0,29,550,0,0.99,0,17,0,1,1,0.537,0.0,3.137
18,0.53229123,-5.7108295999999986e-06,-0.062147453,0,18,0.0,29,550,0,0.993,0,18,0,1,1,0.5356,0.0,3.137
19,0.53229487,-8.024199000000001e-05,-0.049717136,0,19,0.0,29,550,0,0.9956,0,19,0,1,1,0.534,0.0,3.137
20,0.5323061,-0.00016600556,-0.037137225,0,20,0.0,29,550,0,0.9976,0,20,0,1,1,0.5329999999999999,0.0,3.137
21,0.5322714,-0.0002260437,-0.02484286,0,21,0.0,29,550,0,0.9985,0,21,0,1,1,0.5327,0.0,3.137
22,0.532276,6.0070065e-06,-0.012356301,0,22,0.0,29,550,0,0.9995,0,22,0,1,1,0.532,0.0,3.137
23,0.5322796999999999,-1.3931183000000003e-05,-8.483988499999999e-05,0,23,0.0,29,550,0,0.9995,0,23,0,1,1,0.532,0.0,3.137
24,0.5322986999999999,-2.917777e-05,0.012486488,0,24,0.0,29,550,0,0.9995,0,24,0,1,1,0.532,0.0,3.137
25,0.5322948000000001,-4.9255734e-05,0.024844132,0,25,0.0,29,550,0,0.9985,0,25,0,1,1,0.5327,0.0,3.137
26,0.532291,-6.9389265e-05,0.03724443,0,26,0.0,29,550,0,0.997,0,26,0,1,1,0.5329999999999999,0.0,3.137
27,0.5322948000000001,-8.9608366e-05,0.049688313,0,27,0.0,29,550,0,0.9956,0,27,0,1,1,0.534,0.0,3.137
28,0.53228354,-0.000109867746,0.062173896,0,28,0.0,29,550,0,0.993,0,28,0,1,1,0.5356,0.0,3.137
29,0.5323024000000001,-0.0001302272,0.07470667,0,29,0.0,29,550,0,0.99,0,29,0,1,1,0.537,0.0,3.137
30,0.5323137,-0.00014585318,0.087545045,0,30,0.0,29,550,0,0.9863,0,30,0,1,1,0.539,0.0,3.137
31,0.53231746,-0.0001615052,0.10042828,0,31,0.0,29,550,0,0.9824,0,31,0,1,1,0.5415,0.0,3.137
32,0.532311,0.0015914482,-0.31580293,0,0,0.0004606,29,550,0,0.86,0,32,0,1,1,0.6187,0.0,3.137
33,0.5323215,0.00166308,-0.29924238,0,1,0.0004606,29,550,0,0.8716,0,33,0,1,1,0.6104,0.0,3.137
